book,bookLabel,title,authorLabel
http://www.wikidata.org/entity/Q112407,Even Cowgirls Get the Blues,Even Cowgirls Get the Blues,Tom Robbins
http://www.wikidata.org/entity/Q91926,Barbarella,,Jean-Claude Forest
http://www.wikidata.org/entity/Q80038,Ruth,רוּת,
http://www.wikidata.org/entity/Q95029,The League of Extraordinary Gentlemen,,Alan Moore
http://www.wikidata.org/entity/Q82464,The Picture of Dorian Gray,The Picture of Dorian Gray,Oscar Wilde
http://www.wikidata.org/entity/Q4784,Metroland,Metroland,Julian Barnes
http://www.wikidata.org/entity/Q45735,Charlotte's Web,Charlotte’s Web,E. B. White
http://www.wikidata.org/entity/Q83797,The Legend of the Holy Drinker,Die Legende vom heiligen Trinker,Joseph Roth
http://www.wikidata.org/entity/Q81689,The Da Vinci Code,The Da Vinci Code,Dan Brown
http://www.wikidata.org/entity/Q6511,Ulysses,Ulysses,James Joyce
http://www.wikidata.org/entity/Q61324,Sophie's World,Sofies verden.....,Jostein Gaarder
http://www.wikidata.org/entity/Q11880,The Snow Queen,Snedronningen,Hans Christian Andersen
http://www.wikidata.org/entity/Q1834,Death Note,デスノート,Tsugumi Ohba
http://www.wikidata.org/entity/Q26541,Dr. No,Dr. No,Ian Fleming
http://www.wikidata.org/entity/Q35160,Odyssey,Ὀδύσσεια,Homer
http://www.wikidata.org/entity/Q11678,The Hunger Games,The Hunger Games,Suzanne Collins
http://www.wikidata.org/entity/Q11859,The Little Mermaid,Den lille Havfrue,Hans Christian Andersen
http://www.wikidata.org/entity/Q8258,One Thousand and One Nights,الف ليلة وليلة,http://www.wikidata.org/.well-known/genid/cdf0e918de17ebecd0a36f62c00ec9cb
http://www.wikidata.org/entity/Q43714,Blue Like Jazz,Blue Like Jazz: nonreligious thoughts on Christian spirituality,Donald Miller
http://www.wikidata.org/entity/Q47209,Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,J. K. Rowling
http://www.wikidata.org/entity/Q4347,Barefoot Gen,はだしのゲン,Keiji Nakazawa
http://www.wikidata.org/entity/Q80771,Sons and Lovers,Sons and Lovers,D. H. Lawrence
http://www.wikidata.org/entity/Q119567,Books of Blood,Books of Blood,Clive Barker
http://www.wikidata.org/entity/Q46751,Harry Potter and the Goblet of Fire,Harry Potter et la Coupe de feu,J. K. Rowling
http://www.wikidata.org/entity/Q22726,The Raven,The Raven,Edgar Allan Poe
http://www.wikidata.org/entity/Q83585,The Joy of Sex,,Alex Comfort
http://www.wikidata.org/entity/Q32136,The Colour of Magic,The Colour of Magic,Terry Pratchett
http://www.wikidata.org/entity/Q43891,The Butcher Boy,The Butcher Boy,Patrick McCabe
http://www.wikidata.org/entity/Q26505,The Old Man and the Sea,The Old Man and the Sea,Ernest Hemingway
http://www.wikidata.org/entity/Q9184,Book of Genesis,בְּרֵאשִׁית,
http://www.wikidata.org/entity/Q9184,Book of Genesis,Genesis,
http://www.wikidata.org/entity/Q9184,Book of Genesis,Första Moseboken,
http://www.wikidata.org/entity/Q1834,Death Note,デスノート,Takeshi Obata
http://www.wikidata.org/entity/Q18813,New Testament,Καινή Διαθήκη,
http://www.wikidata.org/entity/Q37293,Ramayana,रामायण,Valmiki
http://www.wikidata.org/entity/Q25338,The Little Prince,Le Petit Prince,Antoine de Saint-Exupéry
http://www.wikidata.org/entity/Q92582,Ghost in the Shell,,Masamune Shirow
http://www.wikidata.org/entity/Q2222,Uncle Tom's Cabin,"Uncle Tom's Cabin; or, Life Among the Lowly",Harriet Beecher Stowe
http://www.wikidata.org/entity/Q82737,The Bottle Imp,The Bottle Imp,Robert Louis Stevenson
http://www.wikidata.org/entity/Q82428,Definitely Maybe,За миллиард лет до конца света,Arkady and Boris Strugatsky
http://www.wikidata.org/entity/Q480,Don Quixote,Don Quijote de la Mancha,Miguel de Cervantes
http://www.wikidata.org/entity/Q80817,Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix,J. K. Rowling
http://www.wikidata.org/entity/Q60220,Aeneid,Aenēis,Virgil
http://www.wikidata.org/entity/Q27321,One Day in the Life of Ivan Denisovich,Один день Ивана Денисовича,Aleksandr Solzhenitsyn
http://www.wikidata.org/entity/Q92640,Alice's Adventures in Wonderland,Alice's Adventures in Wonderland,Lewis Carroll
http://www.wikidata.org/entity/Q120288,A Room with a View,,E. M. Forster
http://www.wikidata.org/entity/Q2515,Kick-Ass,Kick-Ass,Mark Millar
http://www.wikidata.org/entity/Q46887,Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,J. K. Rowling
http://www.wikidata.org/entity/Q16438,The Decameron,"Il Decameron, cognominato Prencipe Galeotto",Giovanni Boccaccio
http://www.wikidata.org/entity/Q38793,L'Oeuvre au noir,L'Œuvre au noir,Marguerite Yourcenar
http://www.wikidata.org/entity/Q26085,The Day of the Jackal,The Day of the Jackal,Frederick Forsyth
http://www.wikidata.org/entity/Q83755,Strange Stories from a Chinese Studio,聊齋誌異,Pu Songling
http://www.wikidata.org/entity/Q70784,Journey to the West,西遊記,Wu Cheng'en
http://www.wikidata.org/entity/Q106199,Commentarii de Bello Gallico,De Bello Gallico,Aulus Hirtius
http://www.wikidata.org/entity/Q844,James Bond,,Ian Fleming
http://www.wikidata.org/entity/Q95159,Tetsujin 28-go,,Mitsuteru Yokoyama
http://www.wikidata.org/entity/Q91499,Appleseed,,Masamune Shirow
http://www.wikidata.org/entity/Q130295,The Wonderful Wizard of Oz,The Wizard of Oz,L. Frank Baum
http://www.wikidata.org/entity/Q11870,Thumbelina,Tommelise,Hans Christian Andersen
http://www.wikidata.org/entity/Q46758,Harry Potter and the Deathly Hallows,Harry Potter and the Deathly Hallows,J. K. Rowling
http://www.wikidata.org/entity/Q50857,Gomorrah,Gomorra,Roberto Saviano
http://www.wikidata.org/entity/Q11336,Heart,Cuore,Edmondo de Amicis
http://www.wikidata.org/entity/Q50948,Eugene Onegin,Евгений Онегин,Alexander Pushkin
http://www.wikidata.org/entity/Q117182,Salammbô,Salammbô,Gustave Flaubert
http://www.wikidata.org/entity/Q2515,Kick-Ass,Kick-Ass,"John Romita, Sr."
http://www.wikidata.org/entity/Q81810,Black Rain,黒い雨,Masuji Ibuse
http://www.wikidata.org/entity/Q24323,Seven Pillars of Wisdom,Seven Pillars of Wisdom,T. E. Lawrence
http://www.wikidata.org/entity/Q38213,Such a Long Journey,Such a Long Journey,Rohinton Mistry
http://www.wikidata.org/entity/Q2870,Gone with the Wind,Gone with the Wind,Margaret Mitchell
http://www.wikidata.org/entity/Q28172,World War Z,World War Z,Max Brooks
http://www.wikidata.org/entity/Q11831,Snow White,Schneewittchen,Brothers Grimm
http://www.wikidata.org/entity/Q81240,Judges,שופטים,
http://www.wikidata.org/entity/Q29478,Faust,Faust,Johann Wolfgang von Goethe
http://www.wikidata.org/entity/Q41542,Dracula,Dracula,Bram Stoker
http://www.wikidata.org/entity/Q116122,Hayate the Combat Butler,ハヤテのごとく!,Kenjiro Hata
http://www.wikidata.org/entity/Q53945,Breaking Dawn,Breaking dawn,Stephenie Meyer
http://www.wikidata.org/entity/Q46751,Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire,J. K. Rowling
http://www.wikidata.org/entity/Q127149,Lolita,Lolita,Vladimir Nabokov
http://www.wikidata.org/entity/Q36097,The Trial,Der Prozeß,Franz Kafka
http://www.wikidata.org/entity/Q25551,The Running Man,The Running Man,Stephen King
http://www.wikidata.org/entity/Q75840,And Quiet Flows the Don,Тихий Дон,Mikhail Sholokhov
http://www.wikidata.org/entity/Q6911,Diary of Anne Frank,Het Achterhuis,Anne Frank
http://www.wikidata.org/entity/Q13911,A Prayer for Owen Meany,A Prayer for Owen Meany,John Irving
http://www.wikidata.org/entity/Q43361,Harry Potter and the Philosopher's Stone,Harry Potter and the Philosopher's Stone,J. K. Rowling
http://www.wikidata.org/entity/Q53592,From the Earth to the Moon,De la Terre à la Lune,Jules Verne
http://www.wikidata.org/entity/Q40205,Cloud Atlas,Cloud Atlas,David Mitchell
http://www.wikidata.org/entity/Q40205,Cloud Atlas,Cartographie des nuages,David Mitchell
http://www.wikidata.org/entity/Q31285,Thérèse Desqueyroux,Thérèse Desqueyroux,François Mauriac
http://www.wikidata.org/entity/Q18796,Fairy Tail,FAIRY TAIL,Hiro Mashima
http://www.wikidata.org/entity/Q45192,The Hound of the Baskervilles,The Hound of the Baskervilles,Arthur Conan Doyle
http://www.wikidata.org/entity/Q11829,Hansel and Gretel,Hänsel und Gretel,Jacob Grimm
http://www.wikidata.org/entity/Q8275,Iliad,Ἰλιάς,Homer
http://www.wikidata.org/entity/Q11829,Hansel and Gretel,Hänsel und Gretel,Brothers Grimm
http://www.wikidata.org/entity/Q11829,Hansel and Gretel,Hänsel und Gretel,Wilhelm Grimm
http://www.wikidata.org/entity/Q70806,The Romance of the Three Kingdoms,三國演義,Luo Guanzhong
http://www.wikidata.org/entity/Q106199,Commentarii de Bello Gallico,De Bello Gallico,Julius Caesar
http://www.wikidata.org/entity/Q72309,The Legend of Sleepy Hollow,The Legend of Sleepy Hollow,Washington Irving
http://www.wikidata.org/entity/Q40185,The Divine Comedy,La Divina Commedia,Dante Alighieri
http://www.wikidata.org/entity/Q13912,Where the Wild Things Are,Where the Wild Things Are,Maurice Sendak
http://www.wikidata.org/entity/Q12098,Dylan Dog,Dylan Dog,
http://www.wikidata.org/entity/Q164883,Initial D,Initial D,Shūichi Shigeno
http://www.wikidata.org/entity/Q189378,Twilight,Twilight,Stephenie Meyer
http://www.wikidata.org/entity/Q176470,Interview with the Vampire,Interview with the Vampire,Anne Rice
http://www.wikidata.org/entity/Q182502,Angels & Demons,Angels & Demons,Dan Brown
http://www.wikidata.org/entity/Q162235,Bone,,Jeff Smith
http://www.wikidata.org/entity/Q214132,And Then There Were None,And Then There Were None,Agatha Christie
http://www.wikidata.org/entity/Q183565,Twenty Thousand Leagues Under the Sea,Vingt Mille Lieues sous les mers,Jules Verne
http://www.wikidata.org/entity/Q235795,A Farewell to Arms,A Farewell to Arms,Ernest Hemingway
http://www.wikidata.org/entity/Q152267,White Fang,White Fang,Jack London
http://www.wikidata.org/entity/Q167906,Zazie in the Metro,Zazie dans le métro,Raymond Queneau
http://www.wikidata.org/entity/Q188538,The Master and Margarita,Мастер и Маргарита,Mikhail Bulgakov
http://www.wikidata.org/entity/Q214371,The Great Gatsby,The Great Gatsby,F. Scott Fitzgerald
http://www.wikidata.org/entity/Q161531,War and Peace,Война и мир,Leo Tolstoy
http://www.wikidata.org/entity/Q215983,The Grapes of Wrath,The Grapes of Wrath,John Steinbeck
http://www.wikidata.org/entity/Q212495,The Threepenny Opera,Die Dreigroschenoper,Elisabeth Hauptmann
http://www.wikidata.org/entity/Q169632,The Mother,Мать,Maxim Gorky
http://www.wikidata.org/entity/Q185118,Treasure Island,Treasure Island,Robert Louis Stevenson
http://www.wikidata.org/entity/Q220331,Through the Looking-Glass,"Through the Looking-Glass, and What Alice Found There",Lewis Carroll
http://www.wikidata.org/entity/Q223688,The Gambler,Игрок,Fyodor Dostoyevsky
http://www.wikidata.org/entity/Q140793,Paycheck,Paycheck,Philip K. Dick
http://www.wikidata.org/entity/Q191949,Brave New World,Brave New World,Aldous Huxley
http://www.wikidata.org/entity/Q165599,Native Son,Native Son,Richard Wright
http://www.wikidata.org/entity/Q207332,All Quiet on the Western Front,Im Westen nichts Neues,Erich Maria Remarque
http://www.wikidata.org/entity/Q190192,Dune,Dune,Frank Herbert
http://www.wikidata.org/entity/Q212473,Eclipse,Eclipse,Stephenie Meyer
http://www.wikidata.org/entity/Q189811,David Copperfield,"David Copperfield or The Personal History, Adventures, Experience and Observation of David Copperfield the Younger of Blunderstone Rookery (Which He Never Meant to Publish on Any Account)",Charles Dickens
http://www.wikidata.org/entity/Q140527,The Three Musketeers,Les Trois Mousquetaires,Alexandre Dumas
http://www.wikidata.org/entity/Q214132,And Then There Were None,Ten Little Indians,Agatha Christie
http://www.wikidata.org/entity/Q178791,"Rabbit, Run","Rabbit, Run",John Updike
http://www.wikidata.org/entity/Q190192,Dune,Dune,Frank Herbert
