,book_title,book_author,proba
119,Delta of Venus,Anaïs Nin,1.0
351,The Incognito Lounge,Denis Johnson,1.0
3942,Techniques of Archaeological Excavation,Philip A. Barker,1.0
5535,Wasted: The Preppie Murder,Linda Wolfe,1.0
4702,The Devil's Wind,Manohar Malgonkar,1.0
2221,Strata,Terry Pratchett,1.0
1786,Locker 13,R. L. Stine,1.0
3178,Country of My Skull,Antjie Krog,1.0
1634,His Last Bow,Arthur Conan Doyle,1.0
22,Chilly Scenes of Winter,Ann Beattie,1.0
2901,At Last There Is Nothing Left To Say,Matthew Good,0.98
3201,Dirge,Alan Dean Foster,0.98
4988,The Mystery of Holly Lane,Enid Blyton,0.98
2787,Amritsar to Lahore: A Journey Across the India-Pakistan Border,Stephen Alter,0.94
4496,The Masque of the Red Death,Edgar Allan Poe,0.93
