wikipedia_movie_id,IMDB_rating

975900,4.9

3196793,6.0

28463795,5.6

9363483,6.1

261236,5.9

13696889,nan

18998739,4.2

10408933,6.8

9997961,

2345652,6.7

175026,5.4

24229100,6.3

6631279,5.8

171005,7.5

18296435,7.8

11250635,7.4

30388930,6.2

77856,nan

32456683,7.6

33420460,5.7

175024,6.0

612710,5.1

21926710,6.1

33427105,5.3

31983669,6.9

17715326,nan

22087420,6.4

20604092,

21344842,6.0

156558,6.4

11448183,4.9

9633533,7.9

31323091,5.2

27611999,5.3

31025505,

29528534,7.2

1364293,6.1

29772142,6.6

26067101,6.4

26623942,nan

9912533,7.2

9548445,5.3

32445576,

26878691,5.4

10275424,

2314463,6.6

2487170,7.7

25960460,5.6

13711159,nan

261237,7.3

21153158,nan

14631844,6.4

14301436,nan

12008535,6.7

4951456,5.5

36009421,5.6

13281430,7.0

11633165,8.1

21449578,7.2

23799443,

5708633,5.6

12053509,6.0

7252019,nan

3645672,7.6

29198000,3.9

1369204,6.9

21235485,4.7

19494009,

31323885,

12371532,7.0

24399617,nan

32104837,7.5

20334086,3.3

5915856,4.6

31137877,7.7

2647998,6.1

21958879,

1254263,6.3

20944359,7.4

11353896,6.9

24761154,5.0

27374355,6.4

31304361,6.2

273431,7.0

16686643,7.8

7364373,6.6

31026308,

31026308,7.1

11996174,3.6

7028314,5.6

31156641,5.4

32224700,6.2

19929835,7.4

25413122,5.8

5664529,5.6

26776017,nan

29832307,5.8

24039457,4.7

31322464,

5894429,6.5

12788657,7.1

31153831,

27556929,6.6

4300418,5.5

29766415,nan

30246289,6.2

18109665,nan

9390791,6.6

29375144,6.7

24196090,5.5

28028248,4.4

8669450,7.9

10419077,6.3

2154704,5.2

28301986,6.1

17780234,

33059372,5.0

3740032,6.8

2659373,6.3

17683792,nan

3873713,6.3

28415406,

9380065,2.5

164387,7.4

28937087,6.9

24282217,5.7

7443859,nan

7767613,6.4

24863901,6.3

21373150,5.7

10792038,5.4

30002176,6.8

164388,7.2

22985953,5.7

31723287,8.7

7707787,6.1

1630107,7.2

7572051,5.9

11717027,nan

22066590,6.9

10628777,7.4

3550323,6.7

1072373,6.7

1765938,6.3

7460227,7.6

19095614,6.7

21878654,nan

18902861,6.3

26615659,5.8

3222645,6.8

20204625,nan

13613357,6.8

1305819,nan

25790807,7.4

12438366,

32229606,nan

33495214,5.3

6752142,7.0

12142896,nan

35847891,

14494806,6.8

32972053,5.1

13021375,nan

33514209,7.0

9169526,4.6

1031231,8.0

9912537,5.6

27002888,7.0

13602366,

6342767,4.7

18524941,4.0

18066159,7.0

19031505,5.7

23666949,5.1

180917,6.3

6305925,6.3

196176,7.4

34454683,5.3

9944484,8.1

26600932,nan

33872851,6.4

34702021,8.4

3513305,8.4

2509881,4.4

19569910,nan

12832450,7.1

13091003,8.2

4040882,nan

28742538,5.1

12409066,4.6

30437887,6.6

26137128,4.4

23445121,6.6

15739559,nan

32839744,nan

34470083,6.2

30658112,6.6

16304395,6.2

748616,8.0

36151270,5.1

33956317,nan

30693170,

31505444,5.6

336846,7.2

27463222,4.9

22256486,6.5

3179118,7.0

3249964,7.1

21906878,7.1

142911,5.6

15007384,7.2

31751930,7.5

23968563,6.0

11692389,5.9

31256008,6.8

2316181,6.8

6330031,6.5

8366514,5.9

3829646,7.1

29146560,6.5

3310726,5.9

20119316,5.7

27874961,6.0

3033993,7.0

1588008,6.6

13291849,5.1

12491178,4.9

5696825,6.0

6795113,5.1

30173306,5.1

30405742,7.1

32852698,6.0

254465,nan

32417200,6.0

103021,7.5

21793185,5.4

24011583,6.8

33144131,6.3

31025540,

1940449,4.1

8973241,nan

18496109,6.5

5261530,5.2

5384210,5.6

6795107,6.2

6795107,

2174795,7.9

30109815,6.5

73842,nan

20433908,5.4

29551629,7.5

28649243,7.5

27365295,5.5

6703617,6.5

14294670,4.6

22466518,nan

20545821,nan

6367133,7.6

21737016,5.9

19389755,4.4

29174042,6.4

14907363,nan

29851917,5.0

362719,7.4

30353952,8.6

2870618,6.5

21271533,6.8

18821340,8.8

16055450,5.5

33870773,

22308889,4.2

13706555,nan

17486320,nan

7696753,6.9

32148709,

28327554,6.2

31156816,5.0

17379289,5.1

18037577,nan

23066641,5.7

17960503,6.0

13919299,3.2

10705531,6.9

4459059,5.8

6471697,5.2

413207,7.0

14886428,nan

34689049,6.5

36542079,5.1

4069274,4.4

1643787,nan

3681139,6.2

35923481,5.8

11013589,6.5

26205476,6.2

20365034,5.0

33843262,nan

8955475,nan

5685826,7.0

24234630,4.5

5549065,7.3

14543900,5.1

35567084,7.1

35567084,8.0

24364162,

14739568,7.0

37067980,6.3

22644083,nan

171058,7.5

2608958,6.7

21618909,6.7

26624119,5.3

6273971,7.5

2546429,6.0

25947106,5.4

9916335,7.3

2596816,5.8

20553214,4.7

14630761,4.3

34472259,3.5

3927698,3.1

31686022,5.1

25753113,6.4

6792375,nan

24416479,4.1

31021783,6.5

14773122,nan

36166216,5.4

1688879,6.9

12490207,7.0

20904045,7.0

29468997,nan

2574970,nan

240088,nan

14881706,7.5

29141182,6.5

32584198,4.2

31613768,5.4

6170621,7.8

33148159,nan

12380008,5.6

16672517,nan

24053482,6.7

11252861,7.2

32345990,7.1

13911991,

3883051,4.6

20117139,5.8

34530005,3.7

1033297,6.6

21236198,5.2

9105523,6.6

15737392,nan

31025770,4.7

33519683,nan

31155676,6.8

32400923,4.6

25393275,7.1

12510319,5.9

17594419,6.8

207680,6.5

5771666,nan

36422018,4.0

7489503,nan

27667647,7.4

1858682,6.9

33006259,4.7

15221045,6.4

12802045,7.8

33559533,4.6

7235116,6.1

13723442,nan

24862266,4.7

5254729,6.0

5007743,7.2

22695715,6.6

2051395,6.5

34858219,5.4

15457461,4.9

19168185,6.2

9124011,7.0

11943972,7.1

1393873,nan

24291753,5.7

20648586,7.6

7447592,7.0

3865579,6.3

14558212,6.5

3959961,7.4

235331,8.3

32494263,8.3

8616622,nan

34169001,nan

9560806,7.9

27504492,6.5

22697314,7.2

1249014,7.4

18620635,nan

9879162,6.1

35516437,7.8

29513277,

35785312,6.7

